row_type,category,subcategory,supplier_name,contract_id,request_title,contract_end_date,months_to_expiry,estimated_spend_usd,implementation_timeline_months,preferred_supplier_status
renewal,IT Infrastructure,IT Infrastructure - Personal Productivity Solutions,Microsoft Corporation,C2023001085,,2028-01-26,21,26356419,,preferred
new_business,IT Infrastructure,IT Infrastructure - Print Services,,,Electronic Document Storage Expansion,,,220000,4,allowed
renewal,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,Tufin Software North America Inc,C2022022968,,2027-08-31,16,1423689,,allowed
renewal,IT Infrastructure,IT Infrastructure - Network Hardware & Managed Services,Ltimindtree Limited,C2025054360,,2026-12-31,8,3749250,,preferred
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,Citrix Systems Inc,C2024019053,,2027-08-29,16,3531000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,"Netapp, Inc",C2018023928,,,,15000000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,"System Loco, Ltd",C2022014094,,2027-05-31,13,2000000,,allowed
new_business,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,,,Penetration Testing Services - EMEA,,,680000,4,allowed
renewal,IT Infrastructure,IT Infrastructure - Network Hardware & Managed Services,Telesoft Llc,C2023005165,,2027-07-01,14,900000,,allowed
new_business,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,,,Data Warehouse Modernisation,,,9278755,8.0,
new_business,IT Infrastructure,IT Infrastructure - Network Hardware & Managed Services,,,Wireless Access Point Rollout,,,1200000,7,preferred
new_business,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,,,Database Licensing Review,,,950000,6,preferred
renewal,IT Infrastructure,IT Infrastructure - Network Hardware & Managed Services,"General Telecom Services, Inc.",C2024014678,,2027-10-15,18,500000,,allowed
new_business,IT Infrastructure,IT Infrastructure - Help Desk Services,,,Remote Support Services Expansion,,,1900000,7,preferred
renewal,IT Infrastructure,IT Infrastructure - Mobile Communications Products and Services,Crown Castle Fiber Llc,C2025044135,,2026-06-24,2,109800,,allowed
renewal,IT Infrastructure,IT Infrastructure - Network  Transport Data/Voice,Cox Business,C2024019788,,2027-07-31,15,200000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,"Palo Alto Networks, Inc",C2024012622,,2027-05-15,13,899689,,allowed
new_business,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,,,Colocation Services Procurement,,,1800000,10,allowed
renewal,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,Hybrid Pathways Llc,C2021005230,,2027-04-01,11,2400000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,Vmware Inc,C2024024428,,2027-10-28,18,28079094,,allowed
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,Amazon Web Services Llc,C2025051047,,2026-05-31,1,793580,,allowed
new_business,IT Infrastructure,IT Infrastructure - Mobile Communications Products and Services,,,Corporate Mobile Plan Consolidation,,,1100000,6,preferred
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,Amazon Web Services Inc,C2025053645,,2026-11-21,7,1212035,,allowed
renewal,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,Mandiant Inc,C2025047733,,2026-07-31,3,78000,,allowed
new_business,IT Infrastructure,IT Infrastructure - Network Transport Data/Voice,,,ISP Connectivity Upgrade - ASPAC,,,650000,6,allowed
new_business,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,,,Server Refresh - EMEA Data Centres,,,2500000,9,allowed
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,Sap America Inc,C2025052770,,2026-11-03,6,155445,,preferred
renewal,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,Access Information Management Of Ge,C2024016408,,2027-09-30,18,70000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,Trend Micro Incorporated,C2023026900,,2026-12-16,8,675000,,allowed
new_business,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,,,Privileged Access Management Solution,,,3100000,7,preferred
renewal,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,Access Information Management Of Ge,C2024018909,,2027-09-30,18,70000,,allowed
new_business,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,,,Virtual Desktop Infrastructure Rollout,,,4100000,12,preferred
renewal,IT Infrastructure,IT Infrastructure - Print Services,Iron Mountain Informationmanagement,C2025053515,,2026-12-31,8,122000,,preferred
renewal,IT Infrastructure,IT Infrastructure - Print Services,Ricoh Usa Inc,C2023008179,,2028-03-31,24,73100,,allowed
renewal,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,"Nozomi Networks, Inc",C2019010660,,2026-06-30,2,3000000,,allowed
new_business,IT Infrastructure,IT Infrastructure - Personal Computers,,,Rugged Device Procurement - Field,,,920000,5,preferred
renewal,IT Infrastructure,IT Infrastructure - Personal Productivity Solutions,Microsoft Corporation,C2019007421,,2026-12-31,8,34514400,,preferred
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,"Intelice Solutions, Llc",C2020013103,,2026-06-30,2,122616,,allowed
new_business,IT Infrastructure,IT Infrastructure - Network Transport Data/Voice,,,Voice over IP Migration,,,820000,7,allowed
new_business,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,,,Vulnerability Management Tool,,,2200000,5,preferred
new_business,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,,,Containerisation Platform Rollout,,,2800000,8,preferred
renewal,IT Infrastructure,IT Infrastructure - Print Services,Ricoh Belgium Nv,C2025041173,,2028-05-31,26,122663,,allowed
renewal,IT Infrastructure,IT Infrastructure - Print Services,Iron Mountain Informationmanagement,C2025055235,,2026-12-31,8,782820,,preferred
renewal,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,Servicenowcom,C2025051068,,2027-06-27,14,243934,,allowed
renewal,IT Infrastructure,IT Infrastructure - Personal Computers,Carbon Technologies Llc,C2024020733,,2027-06-30,14,1000000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,Ciberspring International Llc,C2021018667,,2027-08-31,16,1800000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,Oracle America,C2025042085,,2027-02-28,10,5250000,,allowed
new_business,IT Infrastructure,IT Infrastructure - Help Desk Services,,,On-site Support Expansion - EMEA,,,3200000,6,preferred
renewal,IT Infrastructure,IT Infrastructure - Personal Productivity Solutions,Microsoft Corporation,C2023029701,,2026-12-28,8,242250,,preferred
new_business,IT Infrastructure,IT Infrastructure - Network Hardware & Managed Services,,,Next-Gen Firewall Implementation,,,2200000,6,preferred
renewal,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,Silverfort Inc,C2024013484,,2027-08-31,16,5000000,,allowed
new_business,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,,,Cloud Storage Capacity Expansion,,,3200000,8,preferred
