row_type,category,subcategory,supplier_name,contract_id,request_title,contract_end_date,months_to_expiry,estimated_spend_usd,implementation_timeline_months,preferred_supplier_status
new_business,IT Infrastructure,IT Infrastructure - Mobile Communications Products and Services,,,Corporate Mobile Plan Consolidation,,,1100000,6,preferred
renewal,IT Infrastructure,IT Infrastructure - Network  Transport Data/Voice,Telmex Usa Llc,C2022030624,,2027-11-26,19,1250000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,Access Information Management Of Ge,C2025054794,,2026-12-31,8,55697,,allowed
new_business,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,,,Containerisation Platform Rollout,,,2800000,8,preferred
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,Mira Consulting Gmbh,C2019020746,,2026-12-01,7,152539,,allowed
renewal,IT Infrastructure,IT Infrastructure - Mobile Communications Products and Services,Vodafone Global Enterprise Limited,C2020013661,,2026-06-30,2,410682,,preferred
renewal,IT Infrastructure,IT Infrastructure - Network Hardware & Managed Services,Telesoft Llc,C2023005165,,2027-07-01,14,900000,,allowed
new_business,IT Infrastructure,IT Infrastructure - Print Services,,,Document Destruction Services,,,175000,3,allowed
renewal,IT Infrastructure,IT Infrastructure - Personal Productivity Solutions,Microsoft Corporation,C2023029701,,2026-12-28,8,242250,,preferred
renewal,IT Infrastructure,IT Infrastructure - Network Hardware & Managed Services,Netconnect Bvba,C2019025991,,2026-06-30,2,1760066,,allowed
new_business,IT Infrastructure,IT Infrastructure - Mobile Communications Products and Services,,,Smartphone Refresh Programme,,,890000,5,allowed
renewal,IT Infrastructure,IT Infrastructure - Network Hardware & Managed Services,Kydea S.R.L.,C2024001581,,2026-12-31,8,3549467,,allowed
renewal,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,Kapish Services Pty Ltd,C2025038302,,2028-04-14,24,550000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Help Desk Services,"Nexthink, Inc.",C2017015775,,2027-12-31,21,3000000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,Beyondtrust Corporation,C2019018617,,2027-09-30,18,1800000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Personal Computers,Lenovo Group - Central Ordering,C2018018313,,2028-04-01,24,120000000,,preferred
new_business,IT Infrastructure,IT Infrastructure - Personal Computers,,,Desktop PC Refresh - HQ,,,1500000,7,allowed
new_business,IT Infrastructure,IT Infrastructure - Personal Productivity Solutions,,,Project Management SaaS Procurement,,,980000,6,allowed
renewal,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,Blackberry Corporation,C2021015596,,2026-05-31,1,553000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,Abnormal Security Corporation,C2021014697,,2026-12-31,8,2000000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Print Services,Aci,C2020009384,,2026-08-04,3,116226,,allowed
new_business,IT Infrastructure,IT Infrastructure - Network Hardware & Managed Services,,,Router & Switch Refresh - ASPAC,,,1600000,8,preferred
renewal,IT Infrastructure,IT Infrastructure - Network  Transport Data/Voice,"World Wide Technology, Llc.",C2025032492,,2028-01-01,21,1323617,,preferred
new_business,IT Infrastructure,IT Infrastructure - Network Hardware & Managed Services,,,SD-WAN Deployment - LATAM,,,1100000,8,allowed
renewal,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,"Nozomi Networks, Inc",C2019010660,,2026-06-30,2,3000000,,allowed
new_business,IT Infrastructure,IT Infrastructure - Network Transport Data/Voice,,,ISP Connectivity Upgrade - ASPAC,,,650000,6,allowed
new_business,IT Infrastructure,IT Infrastructure - Help Desk Services,,,On-site Support Expansion - EMEA,,,3200000,6,preferred
renewal,IT Infrastructure,IT Infrastructure - Print Services,Iron Mountain Informationmanagement,C2025052731,,2026-12-31,8,600060,,preferred
renewal,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,Protiviti Inc.,C2022024788,,2026-06-15,~6,5000000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,Cognizant Worldwide Limited,C2024017194,,2026-08-01,3,4923322,,allowed
new_business,IT Infrastructure,IT Infrastructure - Personal Computers,,,Thin Client Deployment,,,780000,6,preferred
new_business,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,,,Cloud Storage Capacity Expansion,,,3200000,8,preferred
new_business,IT Infrastructure,IT Infrastructure - Help Desk Services,,,Remote Support Services Expansion,,,1900000,7,preferred
new_business,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,,,Virtual Desktop Infrastructure Rollout,,,4100000,12,preferred
renewal,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,Access Information Management Of Ge,C2025053206,,2026-12-31,8,55697,,allowed
renewal,IT Infrastructure,IT Infrastructure - Personal Productivity Solutions,Microsoft Corporation,C2019007421,,2026-12-31,8,34514400,,preferred
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,Citrix Systems Inc,C2024018798,,2027-08-29,16,3531000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,Bluevoyant Llc,C2024028743,,2028-01-05,21,1200000,,allowed
new_business,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,,,SOC Build-out Programme,,,N/A,4.0,preferred
new_business,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,,,Vulnerability Management Tool,,,2200000,5,preferred
renewal,IT Infrastructure,IT Infrastructure - Help Desk Services,"Autana Business Partners, S.L.",C2022017111,,2027-07-01,14,528020,,allowed
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,Opt Tech Llc,C2024018381,,2027-07-08,15,1500000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Network  Transport Data/Voice,"American Accessories International, Llc",C2022022958,,2026-05-29,1,2000000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Network Hardware & Managed Services,Hcl Technologies Limited,C2023000505,,2027-12-31,21,11.9M,,allowed
new_business,IT Infrastructure,IT Infrastructure - Network Transport Data/Voice,,,WAN Circuit Consolidation,,,1300000,9,allowed
renewal,IT Infrastructure,IT Infrastructure - Network Hardware & Managed Services,Comcast Cable Communications,C2023020544,,2026-08-15,4,840000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Personal Computers,Cdw It Solutions Singapore Pte Limited,C2025034038,,2028-03-31,24,700000,,allowed
new_business,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,,,Server Refresh - EMEA Data Centres,,,2500000,9,allowed
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,"Chr Solutions, Inc.",C2020025173,,2026-12-31,8,56000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Print Services,Xerox Nederland Bv,C2023000178,,2026-12-28,8,53562,,allowed
renewal,IT Infrastructure,IT Infrastructure - Security & Risk Mgt.,Mandiant,C2020013760,,2026-07-09,3,300000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,Ciberspring International Llc,C2021018667,,2027-08-31,16,1800000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,Amazon Web Services Llc,C2025050667,,2027-10-15,18,2018149,,preferred
renewal,IT Infrastructure,IT Infrastructure - Network Hardware & Managed Services,Hcl Technologies Limited,C2021000138,,2026-07-30,TBD,60000000,,allowed
renewal,IT Infrastructure,IT Infrastructure - Data Center Hardware & Services,Teradata Operations Inc,C2023013651,,2026-07-26,3,9278755,,allowed
